,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
6233,General Engineering,University of Abertay Dundee,0,0,40,60,14.2
6237,Law,University of Abertay Dundee,0,10,50,0,3.5
6241,Sociology,University of Abertay Dundee,0,0,40,60,7.0
6245,"Sport and Exercise Sciences, Leisure and Tourism",University of Abertay Dundee,0,0,100,0,6.0
6249,Clinical Medicine,University of Dundee,100,0,0,0,49.5
6253,"Public Health, Health Services and Primary Care",University of Dundee,53.3,46.7,0,0,16.2
6257,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Dundee,40,60,0,0,22.4
6261,"Psychology, Psychiatry and Neuroscience",University of Dundee,80,20,0,0,14.9
6265,Biological Sciences,University of Dundee,75,25,0,0,73.2
6269,Mathematical Sciences,University of Dundee,60,40,0,0,12.7
6273,Computer Science and Informatics,University of Dundee,50,50,0,0,11.7
6277,Civil and Construction Engineering,University of Dundee,50,30,20,0,14.5
6281,General Engineering,University of Dundee,53.3,33.4,13.3,0,18.75
6285,"Architecture, Built Environment and Planning",University of Dundee,0,10,50,0,9.2
6289,"Geography, Environmental Studies and Archaeology",University of Dundee,20,70,10,0,14.3
6293,Business and Management Studies,University of Dundee,26.7,23.3,50,0,19.4
6297,Law,University of Dundee,26.7,26.6,46.7,0,17.0
6301,Politics and International Studies,University of Dundee,0,0,50,50,7.2
6305,Social Work and Social Policy,University of Dundee,80,20,0,0,10.0
6309,Education,University of Dundee,0,50,50,0,8.8
6313,English Language and Literature,University of Dundee,0,70,30,0,10.5
6317,History,University of Dundee,26.7,50,23.3,0,16.0
6321,Philosophy,University of Dundee,0,20,80,0,5.0
6325,"Art and Design: History, Practice and Theory",University of Dundee,60,40,0,0,44.5
6329,Clinical Medicine,University of Edinburgh,74.5,23.7,1.8,0,206.93
6333,"Psychology, Psychiatry and Neuroscience",University of Edinburgh,81.5,18.5,0,0,117.28
6337,Biological Sciences,University of Edinburgh,80,20,0,0,109.7
6341,"Agriculture, Veterinary and Food Science",University of Edinburgh,76.8,6.4,12.6,4.2,122.62
6345,Earth Systems and Environmental Sciences,University of Edinburgh,31.8,50,18.2,0,104.98
6349,Chemistry,University of Edinburgh,27.8,63.3,8.9,0,43.3
6353,Physics,University of Edinburgh,46.4,46.3,7.3,0,66.2
6357,Mathematical Sciences,University of Edinburgh,30,54,16,0,56.8
6361,Computer Science and Informatics,University of Edinburgh,48,32,4,8,94.85
6365,General Engineering,University of Edinburgh,60,38.1,1.9,0,91.8
6369,"Architecture, Built Environment and Planning",University of Edinburgh,55.7,21.4,22.9,0,29.8
6373,"Geography, Environmental Studies and Archaeology",University of Edinburgh,0,70,30,0,14.7
6377,Economics and Econometrics,University of Edinburgh,13.3,60,26.7,0,17.5
6381,Business and Management Studies,University of Edinburgh,46.7,40,13.3,0,51.6
6385,Law,University of Edinburgh,86.7,13.3,0,0,54.0
6389,Politics and International Studies,University of Edinburgh,50,50,0,0,34.05
6393,Social Work and Social Policy,University of Edinburgh,55.7,38.6,5.7,0,58.69
6397,Sociology,University of Edinburgh,54.3,45.7,0,0,58.14
6401,Anthropology and Development Studies,University of Edinburgh,60,40,0,0,34.45
6405,Education,University of Edinburgh,76,24,0,0,39.97
6409,"Sport and Exercise Sciences, Leisure and Tourism",University of Edinburgh,40,50,10,0,23.8
6413,Area Studies,University of Edinburgh,13.3,50,36.7,0,22.0
6417,Modern Languages and Linguistics,University of Edinburgh,58,34,8,0,36.55
6421,Modern Languages and Linguistics,University of Edinburgh,40,40,20,0,34.25
6425,English Language and Literature,University of Edinburgh,30,60,10,0,34.9
6429,History,University of Edinburgh,40,54.3,5.7,0,61.22
6433,Classics,University of Edinburgh,26.7,33.3,40,0,22.5
6437,Philosophy,University of Edinburgh,36.7,36.6,26.7,0,23.6
6441,Theology and Religious Studies,University of Edinburgh,40,50,10,0,26.6
6445,"Art and Design: History, Practice and Theory",University of Edinburgh,58,42,0,0,43.0
6449,"Music, Drama, Dance and Performing Arts",University of Edinburgh,46.7,13.3,40,0,17.3
6453,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Edinburgh Napier University,0,26.7,73.3,0,22.2
6457,Earth Systems and Environmental Sciences,Edinburgh Napier University,20,80,0,0,6.0
6461,Computer Science and Informatics,Edinburgh Napier University,0,90,10,0,10.7
6465,"Electrical and Electronic Engineering, Metallurgy and Materials",Edinburgh Napier University,0,80,20,0,10.3
6469,Civil and Construction Engineering,Edinburgh Napier University,0,40,20,0,14.0
6473,"Architecture, Built Environment and Planning",Edinburgh Napier University,40,20,0,40,7.9
6477,Business and Management Studies,Edinburgh Napier University,10,30,60,0,10.4
6481,English Language and Literature,Edinburgh Napier University,40,30,30,0,9.8
6485,"Communication, Cultural and Media Studies, Library and Information Management",Edinburgh Napier University,0,50,50,0,7.6
6489,Clinical Medicine,University of Glasgow,76.8,16.9,2.1,0,177.4
6493,"Public Health, Health Services and Primary Care",University of Glasgow,33.3,66.7,0,0,48.42
6497,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Glasgow,70,30,0,0,13.8
6501,"Psychology, Psychiatry and Neuroscience",University of Glasgow,60,0,40,0,34.2
6505,Biological Sciences,University of Glasgow,38.6,55.7,5.7,0,60.34
6509,"Agriculture, Veterinary and Food Science",University of Glasgow,82,18,0,0,38.8
6513,Earth Systems and Environmental Sciences,University of Glasgow,30,50,20,0,34.8
6517,Chemistry,University of Glasgow,35,65,0,0,30.8
6521,Physics,University of Glasgow,42,58,0,0,44.9
6525,Mathematical Sciences,University of Glasgow,32,68,0,0,43.0
6529,Computer Science and Informatics,University of Glasgow,68,32,0,0,41.6
6533,General Engineering,University of Glasgow,51.1,40,8.9,0,84.0
6537,"Architecture, Built Environment and Planning",University of Glasgow,63.3,36.7,0,0,24.6
6541,"Geography, Environmental Studies and Archaeology",University of Glasgow,40,60,0,0,13.0
6545,"Geography, Environmental Studies and Archaeology",University of Glasgow,20,70,10,0,9.55
6549,Economics and Econometrics,University of Glasgow,0,63.3,36.7,0,23.75
6553,Business and Management Studies,University of Glasgow,34,26,40,0,39.83
6557,Law,University of Glasgow,60,40,0,0,30.35
6561,Politics and International Studies,University of Glasgow,0,86.7,13.3,0,24.0
6565,Social Work and Social Policy,University of Glasgow,60,30,10,0,29.2
6569,Education,University of Glasgow,40,60,0,0,37.5
6573,Area Studies,University of Glasgow,0,80,20,0,10.8
6577,Modern Languages and Linguistics,University of Glasgow,50,23.3,0,26.7,22.0
6581,Modern Languages and Linguistics,University of Glasgow,30,70,0,0,6.2
6585,English Language and Literature,University of Glasgow,53.3,33.4,13.3,0,51.35
6589,History,University of Glasgow,66,34,0,0,43.8
6593,Classics,University of Glasgow,10,50,20,20,8.0
6597,Philosophy,University of Glasgow,0,20,80,0,11.0
6601,Theology and Religious Studies,University of Glasgow,40,50,10,0,10.86
6605,"Art and Design: History, Practice and Theory",University of Glasgow,73.3,26.7,0,0,16.54
6609,"Music, Drama, Dance and Performing Arts",University of Glasgow,40,60,0,0,11.2
6613,"Communication, Cultural and Media Studies, Library and Information Management",University of Glasgow,40,46.7,13.3,0,23.8
6617,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Glasgow Caledonian University,48,52,0,0,44.3
6621,Computer Science and Informatics,Glasgow Caledonian University,0,30,30,40,13.0
6625,General Engineering,Glasgow Caledonian University,0,13.3,86.7,0,21.0
6629,"Architecture, Built Environment and Planning",Glasgow Caledonian University,0,90,10,0,21.6
6633,Business and Management Studies,Glasgow Caledonian University,0,50,50,0,14.8
6637,Social Work and Social Policy,Glasgow Caledonian University,80,10,10,0,14.4
6641,Education,Glasgow Caledonian University,0,60,40,0,6.4
6645,History,Glasgow Caledonian University,0,80,20,0,6.2
6649,"Communication, Cultural and Media Studies, Library and Information Management",Glasgow Caledonian University,20,60,20,0,11.3
6653,"Art and Design: History, Practice and Theory",Glasgow School of Art,30,50,20,0,52.8
6657,"Psychology, Psychiatry and Neuroscience",Heriot-Watt University,80,20,0,0,12.6
6661,"Agriculture, Veterinary and Food Science",Heriot-Watt University,60,40,0,0,9.5
6665,Earth Systems and Environmental Sciences,Heriot-Watt University,13.3,86.7,0,0,17.5
6669,Chemistry,Heriot-Watt University,10,80,10,0,30.0
6673,Physics,Heriot-Watt University,50,36.7,13.3,0,20.8
6677,Mathematical Sciences,Heriot-Watt University,30,54,16,0,36.37
6681,Computer Science and Informatics,Heriot-Watt University,40,60,0,0,27.7
6685,General Engineering,Heriot-Watt University,60,38.1,1.9,0,108.84
6689,"Architecture, Built Environment and Planning",Heriot-Watt University,55.7,21.4,22.9,0,34.7
6693,Business and Management Studies,Heriot-Watt University,18,82,0,0,37.2
6697,Modern Languages and Linguistics,Heriot-Watt University,90,10,0,0,9.8
6701,"Art and Design: History, Practice and Theory",Heriot-Watt University,90,10,0,0,7.35
6705,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of the Highlands and Islands,26.7,73.3,0,0,5.2
6709,Earth Systems and Environmental Sciences,University of the Highlands and Islands,10,90,0,0,32.45
6713,"Geography, Environmental Studies and Archaeology",University of the Highlands and Islands,0,60,40,0,13.2
6717,Area Studies,University of the Highlands and Islands,20,60,20,0,7.25
6721,Modern Languages and Linguistics,University of the Highlands and Islands,0,60,40,0,5.8
6725,History,University of the Highlands and Islands,50,50,0,0,4.2
6729,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Queen Margaret University Edinburgh,0,30,70,0,8.2
6733,"Psychology, Psychiatry and Neuroscience",Queen Margaret University Edinburgh,40,0,60,0,6.0
6737,Anthropology and Development Studies,Queen Margaret University Edinburgh,0,60,40,0,8.6
6741,Modern Languages and Linguistics,Queen Margaret University Edinburgh,30,70,0,0,10.7
6745,"Communication, Cultural and Media Studies, Library and Information Management",Queen Margaret University Edinburgh,0,20,50,30,9.2
6749,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Robert Gordon University,26.7,73.3,0,0,13.5
6753,Computer Science and Informatics,Robert Gordon University,0,23.3,23.4,53.3,18.75
6757,General Engineering,Robert Gordon University,0,70,30,0,14.0
6761,"Architecture, Built Environment and Planning",Robert Gordon University,0,0,50,50,14.6
6765,Business and Management Studies,Robert Gordon University,50,10,40,0,6.9
6769,Law,Robert Gordon University,0,20,80,0,9.0
6773,Politics and International Studies,Robert Gordon University,0,20,80,0,5.2
6777,"Art and Design: History, Practice and Theory",Robert Gordon University,20,70,10,0,9.0
6781,"Communication, Cultural and Media Studies, Library and Information Management",Robert Gordon University,20,60,20,0,10.7
6785,"Music, Drama, Dance and Performing Arts",Royal Conservatoire of Scotland,60,40,0,0,14.78
6789,"Agriculture, Veterinary and Food Science",SRUC,76.8,6.4,12.6,4.2,57.37
6793,Clinical Medicine,University of St Andrews,0,53.3,20,26.7,16.0
6797,"Psychology, Psychiatry and Neuroscience",University of St Andrews,40,60,0,0,30.2
6801,Biological Sciences,University of St Andrews,90,10,0,0,50.45
6805,Chemistry,University of St Andrews,27.8,63.3,8.9,0,37.3
6809,Physics,University of St Andrews,46.4,46.3,7.3,0,36.9
6813,Mathematical Sciences,University of St Andrews,40,50,10,0,30.6
6817,Computer Science and Informatics,University of St Andrews,13.3,73.4,13.3,0,24.0
6821,"Geography, Environmental Studies and Archaeology",University of St Andrews,76,24,0,0,36.5
6825,Economics and Econometrics,University of St Andrews,0,50,50,0,20.5
6829,Business and Management Studies,University of St Andrews,73.3,26.7,0,0,22.2
6833,Politics and International Studies,University of St Andrews,50,40,10,0,32.83
6837,Anthropology and Development Studies,University of St Andrews,0,100,0,0,14.66
6841,Modern Languages and Linguistics,University of St Andrews,0,90,10,0,32.75
6845,English Language and Literature,University of St Andrews,90,10,0,0,28.0
6849,History,University of St Andrews,58,42,0,0,37.13
6853,Classics,University of St Andrews,50,50,0,0,11.7
6857,Philosophy,University of St Andrews,53.3,36.7,10,0,22.59
6861,Theology and Religious Studies,University of St Andrews,40,10,50,0,14.0
6865,"Art and Design: History, Practice and Theory",University of St Andrews,20,80,0,0,12.7
6869,"Music, Drama, Dance and Performing Arts",University of St Andrews,20,80,0,0,7.68
6873,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Stirling,53.3,20,26.7,0,24.4
6877,"Psychology, Psychiatry and Neuroscience",University of Stirling,100,0,0,0,14.0
6881,"Agriculture, Veterinary and Food Science",University of Stirling,90,10,0,0,28.0
6885,Earth Systems and Environmental Sciences,University of Stirling,20,60,20,0,14.6
6889,Computer Science and Informatics,University of Stirling,10,50,40,0,14.4
6893,"Geography, Environmental Studies and Archaeology",University of Stirling,10,90,0,0,21.3
6897,Business and Management Studies,University of Stirling,60,32,8,0,42.8
6901,Law,University of Stirling,0,40,60,0,7.91
6905,Social Work and Social Policy,University of Stirling,40,60,0,0,32.97
6909,Education,University of Stirling,20,80,0,0,14.0
6913,"Sport and Exercise Sciences, Leisure and Tourism",University of Stirling,0,36.7,36.6,26.7,22.4
6917,English Language and Literature,University of Stirling,0,86.7,13.3,0,24.0
6921,History,University of Stirling,40,60,0,0,13.0
6925,Philosophy,University of Stirling,20,50,30,0,12.4
6929,"Communication, Cultural and Media Studies, Library and Information Management",University of Stirling,40,60,0,0,14.7
6933,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Strathclyde,75,25,0,0,74.3
6937,"Psychology, Psychiatry and Neuroscience",University of Strathclyde,80,20,0,0,12.0
6941,Chemistry,University of Strathclyde,35,65,0,0,35.4
6945,Physics,University of Strathclyde,80,20,0,0,27.0
6949,Mathematical Sciences,University of Strathclyde,30,40,20,10,32.9
6953,Computer Science and Informatics,University of Strathclyde,13.3,13.4,73.3,0,20.2
6957,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Strathclyde,30,50,20,0,67.2
6961,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Strathclyde,32.9,55.7,11.4,0,59.2
6965,Civil and Construction Engineering,University of Strathclyde,13.3,60,26.7,0,20.2
6969,"Architecture, Built Environment and Planning",University of Strathclyde,40,0,60,0,14.5
6973,Business and Management Studies,University of Strathclyde,80,15,5,0,73.35
6977,Law,University of Strathclyde,0,90,10,0,19.67
6981,Politics and International Studies,University of Strathclyde,60,40,0,0,19.4
6985,Social Work and Social Policy,University of Strathclyde,63.3,36.7,0,0,15.7
6989,Education,University of Strathclyde,40,50,10,0,24.6
6993,English Language and Literature,University of Strathclyde,40,33.3,13.4,13.3,20.2
6997,History,University of Strathclyde,26.7,60,13.3,0,22.2
7001,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of the West of Scotland,0,40,60,0,13.0
7005,Computer Science and Informatics,University of the West of Scotland,0,0,50,50,14.0
7009,"Electrical and Electronic Engineering, Metallurgy and Materials",University of the West of Scotland,0,40,40,20,7.5
7013,General Engineering,University of the West of Scotland,20,40,20,20,13.0
7017,Business and Management Studies,University of the West of Scotland,0,30,70,0,10.9
7021,Social Work and Social Policy,University of the West of Scotland,0,40,26.7,33.3,22.8
7025,Education,University of the West of Scotland,0,60,20,20,14.0
7029,"Sport and Exercise Sciences, Leisure and Tourism",University of the West of Scotland,0,0,20,80,9.2
7033,"Communication, Cultural and Media Studies, Library and Information Management",University of the West of Scotland,30,70,0,0,13.8
7037,"Agriculture, Veterinary and Food Science",Aberystwyth University,76,20,4,0,70.21
7041,Earth Systems and Environmental Sciences,Aberystwyth University,40,50,10,0,4.0
7045,Physics,Aberystwyth University,0,30,50,20,12.1
7049,Mathematical Sciences,Aberystwyth University,0,10,90,0,10.75
7053,Computer Science and Informatics,Aberystwyth University,23.3,76.7,0,0,24.8
7057,"Geography, Environmental Studies and Archaeology",Aberystwyth University,42,58,0,0,38.93
7061,Business and Management Studies,Aberystwyth University,26.7,46.6,13.4,13.3,16.6
7065,Law,Aberystwyth University,26.7,50,23.3,0,16.5
7069,Politics and International Studies,Aberystwyth University,40,40,20,0,27.2
7073,"Sport and Exercise Sciences, Leisure and Tourism",Aberystwyth University,0,90,10,0,10.2
7077,Modern Languages and Linguistics,Aberystwyth University,0,60,40,0,7.0
7081,Modern Languages and Linguistics,Aberystwyth University,0,50,10,40,12.0
7085,English Language and Literature,Aberystwyth University,0,80,20,0,13.6
7089,History,Aberystwyth University,0,50,50,0,14.8
7093,"Art and Design: History, Practice and Theory",Aberystwyth University,20,80,0,0,4.0
7097,"Music, Drama, Dance and Performing Arts",Aberystwyth University,40,40,20,0,28.1
7101,"Communication, Cultural and Media Studies, Library and Information Management",Aberystwyth University,0,0,60,40,6.0
7105,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Bangor University,20,80,0,0,12.0
7109,"Psychology, Psychiatry and Neuroscience",Bangor University,73.3,26.7,0,0,21.6
7113,"Agriculture, Veterinary and Food Science",Bangor University,76,20,4,0,18.2
7117,Earth Systems and Environmental Sciences,Bangor University,40,50,10,0,35.35
7121,Chemistry,Bangor University,0,70,30,0,9.4
7125,Computer Science and Informatics,Bangor University,0,0,40,60,10.0
7129,"Electrical and Electronic Engineering, Metallurgy and Materials",Bangor University,0,20,80,0,12.6
7133,Business and Management Studies,Bangor University,10,70,20,0,28.75
7137,Law,Bangor University,0,100,0,0,9.0
7141,"Sport and Exercise Sciences, Leisure and Tourism",Bangor University,66.7,33.3,0,0,11.0
7145,Modern Languages and Linguistics,Bangor University,90,10,0,0,24.8
7149,English Language and Literature,Bangor University,20,70,10,0,13.6
7153,History,Bangor University,20,80,0,0,13.0
7157,"Music, Drama, Dance and Performing Arts",Bangor University,40,60,0,0,13.65
7161,Clinical Medicine,Cardiff University,80,20,0,0,59.01
7165,"Public Health, Health Services and Primary Care",Cardiff University,63.3,10,26.7,0,24.29
7169,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Cardiff University,90,10,0,0,74.95
7173,"Psychology, Psychiatry and Neuroscience",Cardiff University,90,0,10,0,69.33
7177,Biological Sciences,Cardiff University,60,40,0,0,54.7
7181,Earth Systems and Environmental Sciences,Cardiff University,10,50,40,0,14.99
7185,Chemistry,Cardiff University,50,50,0,0,23.0
7189,Physics,Cardiff University,63.3,36.7,0,0,19.5
7193,Mathematical Sciences,Cardiff University,26.7,73.3,0,0,24.05
7197,Computer Science and Informatics,Cardiff University,60,30,10,0,13.73
7201,Civil and Construction Engineering,Cardiff University,100,0,0,0,14.3
7205,General Engineering,Cardiff University,80,20,0,0,33.8
7209,"Architecture, Built Environment and Planning",Cardiff University,20,80,0,0,27.4
7213,"Architecture, Built Environment and Planning",Cardiff University,90,10,0,0,14.8
7217,"Geography, Environmental Studies and Archaeology",Cardiff University,40,50,10,0,13.13
7221,Business and Management Studies,Cardiff University,50,50,0,0,72.6
7225,Law,Cardiff University,80,20,0,0,22.0
7229,Politics and International Studies,Cardiff University,30,70,0,0,13.03
7233,Sociology,Cardiff University,80,20,0,0,29.48
7237,Education,Cardiff University,60,40,0,0,20.6
7241,Modern Languages and Linguistics,Cardiff University,100,0,0,0,14.8
7245,English Language and Literature,Cardiff University,46.7,40,13.3,0,24.01
7249,History,Cardiff University,30,70,0,0,14.4
7253,Philosophy,Cardiff University,70,30,0,0,10.0
7257,Theology and Religious Studies,Cardiff University,20,50,30,0,9.2
7261,"Music, Drama, Dance and Performing Arts",Cardiff University,30,70,0,0,13.2
7265,"Communication, Cultural and Media Studies, Library and Information Management",Cardiff University,100,0,0,0,13.4
7269,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Cardiff Metropolitan University,0,50,30,20,12.0
7273,"Sport and Exercise Sciences, Leisure and Tourism",Cardiff Metropolitan University,66.7,33.3,0,0,13.0
7277,"Art and Design: History, Practice and Theory",Cardiff Metropolitan University,50,50,0,0,10.0
